,store,new_store,works,region
311,bffd93e58e3c5bb0a014a20d67b14221,경기도_321,1,경기도
312,aee2d75c8689d0a783809f35d9b62cf3,경기도_199,5,경기도
313,e7ebf60bafbee317111f279a9b3aa7cd,경상남도_26,353,경상남도
314,8c66359e33dd27c7faeb1722c8704199,경기도_104,110,경기도
315,768db1ef2ccdd79d130c550b2a2bfc55,울산광역시_4,198,울산광역시
316,a8d76f38957a13bc1389c541cd700698,강원도_3,35,강원도
317,9c4099b706d784b1488c95cbcb607aa8,서울특별시_4,496,서울특별시
318,d0925582a14dd937a199b0e516c7e80c,부산광역시_4,1805,부산광역시
319,f86a8039761d5df2bb7c6ef526703ff0,대구광역시_24,2117,대구광역시
320,4520c72319bff204692da0e2150be64c,부산광역시_7,52,부산광역시
321,be8d37bd33d5f6ab8f897e39d5e7ce8e,경기도_138,29,경기도
322,9dd65104f04ec5f9776459202c6a1096,경기도_73,47,경기도
323,a57c1394b4d0854bd4bc3bab496d3a36,경기도_151,2120,경기도
324,c41081f9f3dbdc224d92ca6016a80e0e,충청남도_28,284,충청남도
325,710f140794648dcf8d94fe8f21877818,서울특별시_26,452,서울특별시
326,87919a3443bf560b197007f93174945c,경상남도_2,595,경상남도
327,9d7eec1d45c3df766355dda12a6887db,경상남도_25,490,경상남도
328,cdabc25066fd28e7c7abb7bd9044d66a,경상남도_80,12,경상남도
329,b0ab2ba2056d8c1270cba5497151d4f3,경상남도_87,8,경상남도
330,0ebf0381cdc126bde4740998501ea8c0,경상남도_103,7,경상남도
331,6d754add36ade8cc0400494787c5cfba,서울특별시_80,8,서울특별시
332,8b7c8781ee0e3745afc30dc29286c3a0,인천광역시_8,121,인천광역시
333,461fa55291e22de831a424f6877b5a94,광주광역시_13,271,광주광역시
334,53813806d052950f7838d65a1c810dee,광주광역시_18,1724,광주광역시
335,b3f91c8c5d7c22af591e950563540aa8,부산광역시_31,944,부산광역시
336,7fdadea92a651c4f5115cd19fedabf8f,인천광역시_27,213,인천광역시
337,12994d340bc7e7ce05ac31608f54cbb7,인천광역시_51,4,인천광역시
338,7850593f0c48d2345cc1dd3b591b740c,전라북도_11,156,전라북도
339,ad01d8419404d8b3cc3ea528f1309f91,경기도_30,619,경기도
340,179f1fc367ba9f09e4a2fe838dc1587a,경기도_117,145,경기도
341,699f6c40288316236f990747f10e6e49,경상북도_23,25,경상북도
342,a52e8d15bb61777215d50e98019e8bb2,경기도_94,25,경기도
343,481e412aeeabd87803f8ef65775d6981,경기도_90,49,경기도
344,afd4390f0443216b0bb495605451e947,경기도_12,68,경기도
345,b249e44ab3250cec9c01dc87f37aac38,경기도_1,156,경기도
346,5ad99da8a2a5fe8fa2481fcc19795916,경기도_99,3,경기도
347,90477e1162bc3406e71be1aadcdd2325,경상북도_0,69,경상북도
348,318001442fa7217d7873651e8d3f9d50,경상북도_45,2,경상북도
349,cd93d14cb337764191f756ba48854318,경기도_168,1464,경기도
350,bcb8329a4c125a0776f2e04613453980,경기도_110,73,경기도
351,c5432cf824d8a25f7a09e148e634f06a,경기도_166,1168,경기도
352,dbca280a2a559ae14bd1490d6195f112,경기도_239,126,경기도
353,2ddd12d6a73d89ca976ed7dd0ea94039,서울특별시_38,1194,서울특별시
354,6ea4cc27cad375f6732fb1456933303c,대구광역시_21,1426,대구광역시
355,345bf87ef033af85316d4483c8c72e62,경상남도_41,318,경상남도
356,ef0daa6325282504d273bc32eb880a66,인천광역시_29,119,인천광역시
357,74eaa809717acd27a621782270907b6a,인천광역시_40,42,인천광역시
358,df3051bea1c3bfc79d3e9c97465a23cf,경기도_83,116,경기도
359,a3b1735b853dfca3de047709a8d942e8,경기도_77,5,경기도
360,8aa19dbe05fdc55b36c724e258c8ce57,경기도_118,368,경기도
361,9290ad2765ed69d436eaf1ad768155a1,인천광역시_26,297,인천광역시
362,45846b5cf630e34377435e9aec1379bd,인천광역시_73,122,인천광역시
363,1d40347286b65d5d2900df93d7159753,인천광역시_79,11,인천광역시
364,558c387467a051828945119f04c44b0b,서울특별시_2,186,서울특별시
365,dd87f3c295bd7aa41eaaa9496da2365b,전라북도_3,223,전라북도
366,253af12288df59fcf7404325968fa52c,부산광역시_51,10,부산광역시
367,0b7fa3e566958681be8d67da8af8c68d,인천광역시_54,575,인천광역시
