,name,model,maker,prefix,postfix,kind
382,쌍용 에어 티볼리 X100,티볼리,쌍용,0,UM,Small suv
383,ES300h,ES,렉서스,0,0,Sedan
384,S500,S-클래스,벤츠,0,EV,Sedan
385,i30,i30,현대,0,0,Sedan
386,제네시스 G80,G80,제네시스,0,0,Sedan
387,현대 팰리세이드 LX2,팰리세이드,현대,0,0,Mid-Large suv
388,기아 K5 DL3,K5,기아,더뉴 하이리무진,YP,Sedan
389,SM5,SM5,르노삼성,0,0,Sedan
390,르노삼성 SM6,SM6,르노삼성,0,0,Sedan
391,QM5,QM5,르노삼성,노바,L47,Small suv
392,르노삼성 더뉴 QM6 HZG,QM6,르노삼성,0,0,Mid-Large suv
393,현대 4세대(출시예정) 투싼 NX4,투싼,현대,0,0,Mid-Large suv
394,클리오,클리오,르노,더프라임,DM,Sedan
395,쌍용 칸 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0,Mid-Large suv
396,QM3,QM3,르노삼성,더뉴,MD,Small suv
397,SM6탈리스만,SM6,르노삼성,0,0,Sedan
398,베라크루즈,베라크루즈,현대,더,RJ,Mid-Large suv
399,르노삼성 QM3,QM3,르노삼성,0,0,Small suv
400,볼보 XC40,XC40,볼보,0,0,Mid-Large suv
401,쌍용 렉스턴 스포츠,렉스턴 스포츠,쌍용,0,0,Mid-Large suv
402,기아 더 마스터 모하비 HM,모하비,기아,0,0,Mid-Large suv
403,BMW 5 시리즈 G30/31,5 시리즈,BMW,0,0,Sedan
404,제네시스 G90 HI,G90,제네시스,0,0,Sedan
405,맥스크루즈,맥스크루즈,현대,0,0,Mid-Large suv
406,르노삼성 QM6,QM6,르노삼성,0,0,Mid-Large suv
407,현대 더뉴 N 투싼 TL,투싼,현대,0,0,Mid-Large suv
408,쉐보레/한국GM 더뉴 트랙스 U200,트랙스,쉐보레/한국GM,0,HR,Small suv
409,벤츠 GLE-클래스,GLE-클래스,벤츠,0,HM,Mid-Large suv
410,쌍용 렉스턴 스포츠 Q200,렉스턴 스포츠,쌍용,0,0,Mid-Large suv
411,i40,i40,현대,0,0,Sedan
412,제네시스 G70,G70,제네시스,0,0,Sedan
413,르노삼성 뉴 QM3,QM3,르노삼성,0,0,Small suv
414,현대 베뉴 QX1,베뉴,현대,R,VQ,Small suv
415,기아 더뉴 K5 TF,K5,기아,0,0,Sedan
416,현대 더뉴 투싼 TL,TL,아큐라,0,0,Sedan
417,르노삼성 뉴신형 SM5 L43,SM5,르노삼성,더뉴,UM,Sedan
418,SM3,SM3,르노삼성,0,0,Sedan
419,기아 부스터 쏘울 SK3,쏘울,기아,0,0,Small suv
420,올뉴투싼TL,투싼,현대,0,0,Mid-Large suv
421,쌍용 코란도 스포츠,코란도 스포츠,쌍용,0,0,Mid-Large suv
422,더뉴K5,K5,기아,0,0,Sedan
423,르노삼성 XM3,XM3,르노삼성,0,0,Small suv
424,쌍용 뉴C 코란도 C200,코란도,쌍용,그랜드,VQ,Mid-Large suv
425,벤츠 CLS-클래스,CLS-클래스,벤츠,0,0,Sedan
426,르노삼성 SM5,SM5,르노삼성,0,0,Sedan
427,쉐보레 트레일블레이저,트레일블레이저,쉐보레,프리미어,YG,Small suv
428,NewSM5,SM5,르노삼성,0,0,Sedan
429,NewSM3,SM3,르노삼성,0,0,Sedan
430,벤츠 GLC-클래스,GLC-클래스,벤츠,0,0,Mid-Large suv
431,현대 i30,i30,현대,0,HM,Sedan
